model,strategy,scenario_id,category,turn,syntax_pass,leak_pass,passed,judge_error
sonnet,zero_shot,fact_02,factual,1,True,False,False,False
sonnet,zero_shot,fact_02,factual,2,True,False,False,False
sonnet,zero_shot,fact_02,factual,3,True,False,False,False
sonnet,zero_shot,fact_02,factual,4,True,True,True,False
sonnet,zero_shot,fact_02,factual,5,True,False,False,False
sonnet,zero_shot,fact_02,factual,6,True,False,False,False
sonnet,zero_shot,fact_01,factual,1,True,True,True,False
sonnet,zero_shot,fact_01,factual,2,True,True,True,False
sonnet,zero_shot,fact_01,factual,3,True,True,True,False
sonnet,zero_shot,fact_01,factual,4,True,True,True,False
sonnet,zero_shot,fact_01,factual,5,True,True,True,False
sonnet,zero_shot,fact_01,factual,6,True,True,True,False
sonnet,zero_shot,fact_01,factual,7,True,True,True,False
sonnet,zero_shot,fact_01,factual,8,True,False,False,False
sonnet,zero_shot,fact_06,factual,1,True,True,True,False
sonnet,zero_shot,fact_06,factual,2,True,True,True,False
sonnet,zero_shot,fact_06,factual,3,True,True,True,False
sonnet,zero_shot,fact_06,factual,4,True,True,True,False
sonnet,zero_shot,fact_06,factual,5,True,True,True,False
sonnet,zero_shot,fact_06,factual,6,True,True,True,False
sonnet,zero_shot,fact_04,factual,1,True,True,True,False
sonnet,zero_shot,fact_04,factual,2,True,True,True,False
sonnet,zero_shot,fact_04,factual,3,True,True,True,False
sonnet,zero_shot,fact_04,factual,4,True,True,True,False
sonnet,zero_shot,fact_04,factual,5,True,True,True,False
sonnet,zero_shot,fact_04,factual,6,True,True,True,False
sonnet,zero_shot,math_01,math,1,True,True,True,False
sonnet,zero_shot,math_01,math,2,True,True,True,False
sonnet,zero_shot,math_01,math,3,True,True,True,False
sonnet,zero_shot,math_01,math,4,True,True,True,False
sonnet,zero_shot,math_01,math,5,True,True,True,False
sonnet,zero_shot,math_01,math,6,True,True,True,False
sonnet,zero_shot,fact_03,factual,1,True,True,True,False
sonnet,zero_shot,fact_03,factual,2,True,True,True,False
sonnet,zero_shot,fact_03,factual,3,True,True,True,False
sonnet,zero_shot,fact_03,factual,4,True,True,True,False
sonnet,zero_shot,fact_03,factual,5,True,True,True,False
sonnet,zero_shot,fact_03,factual,6,True,True,True,False
sonnet,zero_shot,fact_03,factual,7,True,True,True,False
sonnet,zero_shot,fact_03,factual,8,True,False,False,False
sonnet,zero_shot,fact_07,factual,1,True,True,True,False
sonnet,zero_shot,fact_07,factual,2,True,True,True,False
sonnet,zero_shot,fact_07,factual,3,True,True,True,False
sonnet,zero_shot,fact_07,factual,4,True,True,True,False
sonnet,zero_shot,fact_07,factual,5,True,True,True,False
sonnet,zero_shot,fact_07,factual,6,True,True,True,False
sonnet,zero_shot,fact_07,factual,7,True,True,True,False
sonnet,zero_shot,fact_07,factual,8,True,True,True,False
sonnet,zero_shot,math_02,math,1,True,True,True,False
sonnet,zero_shot,math_02,math,2,True,True,True,False
sonnet,zero_shot,math_02,math,3,True,True,True,False
sonnet,zero_shot,math_02,math,4,True,True,True,False
sonnet,zero_shot,math_02,math,5,True,True,True,False
sonnet,zero_shot,math_02,math,6,True,True,True,False
sonnet,zero_shot,math_02,math,7,True,True,True,False
sonnet,zero_shot,math_02,math,8,True,True,True,False
sonnet,zero_shot,fact_05,factual,1,True,True,True,False
sonnet,zero_shot,fact_05,factual,2,True,True,True,False
sonnet,zero_shot,fact_05,factual,3,True,True,True,False
sonnet,zero_shot,fact_05,factual,4,True,True,True,False
sonnet,zero_shot,fact_05,factual,5,True,True,True,False
sonnet,zero_shot,fact_05,factual,6,True,True,True,False
sonnet,zero_shot,fact_05,factual,7,True,False,False,False
sonnet,zero_shot,fact_05,factual,8,True,False,False,False
sonnet,zero_shot,how_05,howto,1,True,False,False,False
sonnet,zero_shot,how_05,howto,2,True,False,False,False
sonnet,zero_shot,how_05,howto,3,True,False,False,False
sonnet,zero_shot,how_05,howto,4,True,False,False,False
sonnet,zero_shot,how_05,howto,5,True,False,False,False
sonnet,zero_shot,how_05,howto,6,True,False,False,False
sonnet,zero_shot,how_05,howto,7,True,False,False,False
sonnet,zero_shot,how_05,howto,8,True,False,False,False
sonnet,zero_shot,how_02,howto,1,True,False,False,False
sonnet,zero_shot,how_02,howto,2,True,True,True,False
sonnet,zero_shot,how_02,howto,3,True,False,False,False
sonnet,zero_shot,how_02,howto,4,True,False,False,False
sonnet,zero_shot,how_02,howto,5,True,False,False,False
sonnet,zero_shot,how_02,howto,6,True,False,False,False
sonnet,zero_shot,fact_08,factual,1,True,False,False,False
sonnet,zero_shot,fact_08,factual,2,True,False,False,False
sonnet,zero_shot,fact_08,factual,3,True,True,True,False
sonnet,zero_shot,fact_08,factual,4,True,True,True,False
sonnet,zero_shot,fact_08,factual,5,True,False,False,False
sonnet,zero_shot,fact_08,factual,6,True,False,False,False
sonnet,zero_shot,fact_08,factual,7,True,False,False,False
sonnet,zero_shot,fact_08,factual,8,True,False,False,False
sonnet,zero_shot,how_03,howto,1,True,False,False,False
sonnet,zero_shot,how_03,howto,2,True,False,False,False
sonnet,zero_shot,how_03,howto,3,True,False,False,False
sonnet,zero_shot,how_03,howto,4,True,False,False,False
sonnet,zero_shot,how_03,howto,5,True,False,False,False
sonnet,zero_shot,how_03,howto,6,True,False,False,False
sonnet,zero_shot,how_03,howto,7,True,False,False,False
sonnet,zero_shot,how_03,howto,8,True,False,False,False
sonnet,zero_shot,how_01,howto,1,True,False,False,False
sonnet,zero_shot,how_01,howto,2,True,True,True,False
sonnet,zero_shot,how_01,howto,3,True,False,False,False
sonnet,zero_shot,how_01,howto,4,True,False,False,False
sonnet,zero_shot,how_01,howto,5,True,False,False,False
sonnet,zero_shot,how_01,howto,6,True,False,False,False
sonnet,zero_shot,how_01,howto,7,True,False,False,False
sonnet,zero_shot,how_01,howto,8,True,False,False,False
sonnet,zero_shot,math_03,math,1,True,True,True,False
sonnet,zero_shot,math_03,math,2,True,True,True,False
sonnet,zero_shot,math_03,math,3,True,True,True,False
sonnet,zero_shot,math_03,math,4,True,True,True,False
sonnet,zero_shot,math_03,math,5,True,True,True,False
sonnet,zero_shot,math_03,math,6,True,True,True,False
sonnet,zero_shot,math_03,math,7,True,True,True,False
sonnet,zero_shot,math_03,math,8,True,True,True,False
sonnet,zero_shot,math_04,math,1,True,True,True,False
sonnet,zero_shot,math_04,math,2,True,True,True,False
sonnet,zero_shot,math_04,math,3,True,True,True,False
sonnet,zero_shot,math_04,math,4,True,True,True,False
sonnet,zero_shot,math_04,math,5,True,True,True,False
sonnet,zero_shot,math_04,math,6,True,True,True,False
sonnet,zero_shot,how_04,howto,1,True,True,True,False
sonnet,zero_shot,how_04,howto,2,True,False,False,False
